"No.","Time","Source","Destination","Protocol","Length","Info"
"44","3.220040238","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=1/256, ttl=64 (reply in 45)"
"45","3.264602892","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=1/256, ttl=111 (request in 44)"
"58","4.222766801","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=2/512, ttl=64 (reply in 59)"
"59","4.265838934","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=2/512, ttl=111 (request in 58)"
"60","5.224119667","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=3/768, ttl=64 (reply in 61)"
"61","5.315061561","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=3/768, ttl=111 (request in 60)"
"85","6.225468618","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=4/1024, ttl=64 (reply in 86)"
"86","6.269843708","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=4/1024, ttl=111 (request in 85)"
"95","7.227090042","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=5/1280, ttl=64 (reply in 96)"
"96","7.281250960","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=5/1280, ttl=111 (request in 95)"
"100","8.229273610","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=6/1536, ttl=64 (reply in 101)"
"101","8.282998878","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=6/1536, ttl=111 (request in 100)"
"103","9.231765256","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=7/1792, ttl=64 (reply in 104)"
"104","9.285343353","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=7/1792, ttl=111 (request in 103)"
"105","10.232614039","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=8/2048, ttl=64 (reply in 106)"
"106","10.320918753","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=8/2048, ttl=111 (request in 105)"
"107","11.233513975","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=9/2304, ttl=64 (reply in 108)"
"108","11.293925376","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=9/2304, ttl=111 (request in 107)"
"109","12.234517563","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=10/2560, ttl=64 (reply in 110)"
"110","12.316082601","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=10/2560, ttl=111 (request in 109)"
"113","13.236951465","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=11/2816, ttl=64 (reply in 114)"
"114","13.297881780","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=11/2816, ttl=111 (request in 113)"
"115","14.237922636","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=12/3072, ttl=64 (reply in 116)"
"116","14.323876527","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=12/3072, ttl=111 (request in 115)"
"117","15.239726772","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=13/3328, ttl=64 (reply in 118)"
"118","15.326962042","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=13/3328, ttl=111 (request in 117)"
"119","16.241421529","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=14/3584, ttl=64 (reply in 120)"
"120","16.298629700","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=14/3584, ttl=111 (request in 119)"
"127","17.242717306","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=15/3840, ttl=64 (reply in 128)"
"128","17.299833878","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=15/3840, ttl=111 (request in 127)"
"131","18.244968155","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=16/4096, ttl=64 (reply in 132)"
"132","18.297796374","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=16/4096, ttl=111 (request in 131)"
"133","19.246525564","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=17/4352, ttl=64 (reply in 134)"
"134","19.344146747","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=17/4352, ttl=111 (request in 133)"
"135","20.248212210","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=18/4608, ttl=64 (reply in 136)"
"136","20.303970402","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=18/4608, ttl=111 (request in 135)"
"137","21.250451633","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=19/4864, ttl=64 (reply in 138)"
"138","21.348848868","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=19/4864, ttl=111 (request in 137)"
"139","22.252625296","192.168.1.12","8.8.8.8","ICMP","98","Echo (ping) request  id=0x10a2, seq=20/5120, ttl=64 (reply in 140)"
"140","22.340718146","8.8.8.8","192.168.1.12","ICMP","98","Echo (ping) reply    id=0x10a2, seq=20/5120, ttl=111 (request in 139)"
